source,field,value,count
train2000,export_reason,high_cobb,3992
train2000,export_reason,low_jump,10051
train2000,export_reason,top_score,3816357
train2000,smooth,0.0,1764873
train2000,smooth,120.0,737071
train2000,smooth,30.0,739019
train2000,smooth,60.0,589437
train2000,method,pt_global_000_095,1917383
train2000,method,pt_low_015_060,125632
train2000,method,pt_low_020_070,341461
train2000,method,pt_wide_000_060,492322
train2000,method,pt_wide_000_070,953602
train2000,band_family,band_lower,467093
train2000,band_family,band_smoothing_combo,1917383
train2000,band_family,band_wider,1445924
trainfull,export_reason,high_cobb,3822
trainfull,export_reason,low_jump,7395
trainfull,export_reason,top_score,3819183
trainfull,smooth,0.0,1762219
trainfull,smooth,120.0,729848
trainfull,smooth,30.0,742997
trainfull,smooth,60.0,595336
trainfull,method,pt_global_000_095,1917155
trainfull,method,pt_low_015_060,127062
trainfull,method,pt_low_020_070,341616
trainfull,method,pt_wide_000_060,491818
trainfull,method,pt_wide_000_070,952749
trainfull,band_family,band_lower,468678
trainfull,band_family,band_smoothing_combo,1917155
trainfull,band_family,band_wider,1444567
