source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
train2000,001_006540,006540,1.4611,5.9002,20.9457,9.4357,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,002_015127,015127,0.8301,3.1705,9.8138,4.6048,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,003_004178,004178,0.348,0.2161,1.9593,0.8411,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,004_009438,009438,3.3198,3.1982,5.2781,3.932,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,005_003498,003498,2.9724,5.0995,1.7113,3.2611,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,006_000807,000807,2.0922,5.5609,13.2607,6.9713,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,007_003113,003113,3.8128,3.7973,2.7444,3.4515,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,008_013275,013275,28.4228,19.2279,3.2131,16.9546,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,009_013340,013340,1.9051,2.0342,19.9579,7.9657,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,010_009046,009046,0.7385,2.1557,3.9677,2.2873,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,011_000027,000027,2.4071,3.5896,2.9159,2.9709,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,012_014463,014463,3.1595,2.7891,1.7679,2.5722,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,013_004235,004235,2.1773,1.7526,20.6177,8.1825,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
train2000,014_010225,010225,7.2616,10.185,6.8346,8.0937,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,015_005134,005134,0.9919,3.9465,4.9131,3.2838,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,016_011686,011686,4.9349,2.4231,3.9469,3.7683,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,017_007785,007785,0.8111,1.1331,1.1957,1.0466,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,018_008621,008621,2.1658,0.8852,3.7,2.2503,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,019_002869,002869,0.9175,4.5221,3.2411,2.8936,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,020_002517,002517,1.993,3.288,1.7678,2.3496,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,021_004704,004704,2.5304,2.1212,1.3408,1.9975,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,022_008002,008002,0.5665,2.004,3.1408,1.9038,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,023_011887,011887,1.2784,8.4578,2.5772,4.1045,1,PT+MT,PT200,MT190,base_direct_tll
train2000,024_011228,011228,0.6878,3.3526,3.9233,2.6546,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,025_003729,003729,10.4865,3.7575,4.9715,6.4052,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,026_011732,011732,1.2975,0.6375,4.9124,2.2825,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,027_006693,006693,4.3752,2.9006,0.6175,2.6311,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,028_013725,013725,18.5571,22.6268,28.2876,23.1572,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,029_003418,003418,1.4019,3.142,2.5554,2.3664,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,030_012252,012252,4.3783,4.9777,0.4397,3.2652,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,031_014228,014228,1.579,2.3202,7.7458,3.8817,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,032_012329,012329,1.9044,1.459,1.5485,1.6373,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,033_008535,008535,5.9022,2.9125,6.0336,4.9494,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,034_003225,003225,1.1701,1.4382,6.0797,2.896,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,035_002232,002232,4.3599,0.6123,1.0648,2.0123,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,036_005254,005254,0.6037,2.8139,4.699,2.7055,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,037_004434,004434,13.8834,11.5503,5.3967,10.2768,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,038_014430,014430,3.89,1.1454,6.1626,3.7327,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,039_009862,009862,1.2448,3.2395,12.263,5.5824,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,040_004916,004916,4.3195,5.2834,13.817,7.8066,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,041_010582,010582,1.2844,4.0109,5.4869,3.5941,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,042_009450,009450,3.6221,0.4144,6.4062,3.4809,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,043_007544,007544,2.0605,1.9294,0.4356,1.4752,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,044_011162,011162,2.7948,1.8641,3.545,2.7346,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,045_010217,010217,1.9145,1.8682,4.3739,2.7189,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,046_003349,003349,8.7459,0.3726,4.2494,4.456,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,047_012454,012454,0.2989,3.3679,2.6296,2.0988,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,048_000557,000557,0.2319,2.4333,2.324,1.6631,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,049_012399,012399,4.0458,0.4499,18.4396,7.6451,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,050_002099,002099,7.4276,4.7824,8.0589,6.7563,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,051_010097,010097,9.8277,1.0831,9.5073,6.806,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,052_003889,003889,12.647,3.0412,19.3213,11.6698,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
train2000,053_003499,003499,10.0073,4.0016,2.6955,5.5681,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,054_005401,005401,0.7085,4.432,3.9339,3.0248,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,055_004181,004181,3.0937,2.9054,0.1814,2.0602,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,056_007367,007367,3.0317,3.3351,0.2537,2.2068,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,057_001497,001497,5.7172,2.7902,2.9804,3.8293,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,058_004465,004465,0.3427,3.0182,3.6263,2.3291,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,059_013180,013180,1.6765,2.8265,5.0882,3.1971,1,PT+MT,PT200,MT190,base_direct_tll
train2000,060_008956,008956,6.3635,5.5431,3.5208,5.1425,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,061_015587,015587,4.8572,8.5386,0.4784,4.6247,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,062_015527,015527,6.8737,3.7814,0.4824,3.7125,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,063_000373,000373,5.3529,0.5715,3.0336,2.986,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,064_008882,008882,2.7813,0.8207,3.4211,2.341,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,065_001762,001762,5.3747,1.6553,0.5216,2.5172,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,066_001154,001154,9.7735,5.9232,3.9288,6.5418,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,067_013910,013910,5.2745,1.0348,17.1702,7.8265,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,068_000625,000625,11.6999,10.743,0.0517,7.4982,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,069_003471,003471,2.7383,1.9522,4.8758,3.1888,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,070_005958,005958,0.7352,1.8004,2.1204,1.552,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,071_014422,014422,3.815,1.8248,1.1434,2.2611,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,072_001782,001782,2.1971,5.5929,2.1075,3.2992,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,073_010212,010212,2.0998,2.5547,1.2841,1.9795,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,074_000851,000851,6.1383,2.6715,2.9085,3.9061,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,075_010073,010073,3.634,1.7335,6.2884,3.8853,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,076_007073,007073,0.3115,5.9414,4.0569,3.4366,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,077_015376,015376,1.1319,12.7704,4.2209,6.0411,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,078_011989,011989,4.1614,3.5853,4.9724,4.2397,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,079_004275,004275,2.4805,3.2879,4.5883,3.4522,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,080_009413,009413,0.269,0.5329,0.7521,0.518,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,081_003107,003107,5.962,1.8017,6.0204,4.5947,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,082_014029,014029,4.8177,2.874,7.6107,5.1008,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,083_007663,007663,4.57,4.6368,3.1673,4.1247,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,084_011412,011412,0.6178,11.1737,3.7207,5.1707,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,085_009690,009690,0.2048,0.2748,1.4663,0.6486,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,086_002726,002726,0.4481,0.3189,19.7714,6.8461,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,087_002034,002034,5.9621,4.21,1.3066,3.8262,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,088_003288,003288,1.7119,3.153,7.0407,3.9685,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,089_006197,006197,9.0064,2.2185,2.6851,4.6367,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,090_009197,009197,3.0911,3.3981,13.6676,6.7189,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,091_012068,012068,15.912,1.3736,3.9101,7.0652,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,092_012072,012072,4.2986,2.2484,2.0384,2.8618,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,093_012474,012474,3.3895,0.6984,2.7839,2.2906,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,094_012946,012946,2.2013,3.2879,1.6108,2.3667,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,095_000709,000709,6.9032,8.3711,4.9604,6.7449,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,096_003676,003676,4.4046,2.6689,3.604,3.5592,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,097_008148,008148,2.7763,1.2572,6.4699,3.5011,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,098_009014,009014,4.248,4.3381,6.536,5.0407,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,099_011936,011936,4.1266,2.46,3.9925,3.5264,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1000_015857,015857,2.5022,0.4045,1.699,1.5352,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1001_013805,013805,0.2118,0.8687,2.0213,1.0339,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1002_011038,011038,14.2654,1.887,12.0268,9.3931,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1003_002280,002280,11.7751,0.9884,37.2126,16.6587,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1004_010994,010994,2.7952,0.7538,3.7149,2.4213,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1005_006376,006376,1.1,3.4288,2.3161,2.2816,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1006_003232,003232,11.088,3.3611,4.8762,6.4418,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1007_011390,011390,9.9182,30.4423,7.4406,15.9337,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1008_014876,014876,24.1807,20.4306,15.2816,19.9643,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1009_014057,014057,1.1393,0.568,4.7983,2.1685,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,100_011855,011855,6.815,5.2731,0.4077,4.1653,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1010_013201,013201,2.2029,6.9394,4.5731,4.5718,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1011_009334,009334,1.1281,3.2475,0.5737,1.6498,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1012_008418,008418,6.7834,1.4945,2.0441,3.4407,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1013_008269,008269,4.5893,3.6717,7.1426,5.1345,0,MT,base_direct_pt,MT190,base_direct_tll
