source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
trainfull,001_006540,006540,0.0156,7.2398,19.2876,8.8477,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,002_015127,015127,0.36,2.5772,10.0006,4.3126,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,003_004178,004178,0.721,0.3536,2.3695,1.148,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,004_009438,009438,4.4327,3.2437,5.8533,4.5099,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,005_003498,003498,4.2493,7.4671,3.0993,4.9386,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,006_000807,000807,2.4857,6.8902,13.0208,7.4656,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,007_003113,003113,4.1624,4.2338,2.1862,3.5275,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,008_013275,013275,27.9234,24.1642,3.6014,18.563,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,009_013340,013340,3.0846,2.3806,18.228,7.8977,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,010_009046,009046,5.2056,3.7262,4.4921,4.4746,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,011_000027,000027,2.2348,3.0732,5.5591,3.6224,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,012_014463,014463,1.8775,6.3031,3.2792,3.8199,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,013_004235,004235,2.2541,2.6017,20.7242,8.5267,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,014_010225,010225,8.799,10.5736,5.5627,8.3118,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,015_005134,005134,0.9434,3.8183,4.3835,3.0484,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,016_011686,011686,4.807,3.7902,6.5635,5.0536,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,017_007785,007785,1.1034,0.1116,2.1181,1.111,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,018_008621,008621,1.9239,1.3105,4.0207,2.4184,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,019_002869,002869,0.434,4.5385,6.3713,3.7813,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,020_002517,002517,2.2444,2.0593,0.8982,1.734,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,021_004704,004704,3.0818,0.1882,3.326,2.1987,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,022_008002,008002,0.4037,1.6768,5.6462,2.5756,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,023_011887,011887,2.8842,9.4642,3.2415,5.1966,0,PT+MT,PT200,MT190,base_direct_tll
trainfull,024_011228,011228,0.6459,3.5941,3.945,2.7283,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,025_003729,003729,14.1897,5.434,4.7861,8.1366,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,026_011732,011732,1.3655,1.7188,12.9657,5.35,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,027_006693,006693,4.7878,2.4397,0.5845,2.604,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,028_013725,013725,22.0416,22.8499,32.407,25.7662,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,029_003418,003418,1.8794,3.6962,2.5608,2.7121,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,030_012252,012252,0.5232,5.2619,7.5946,4.4599,1,PT+MT,PT200,MT190,base_direct_tll
trainfull,031_014228,014228,1.5101,2.9199,6.9116,3.7805,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,032_012329,012329,2.0358,1.192,0.9577,1.3952,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,033_008535,008535,5.9263,3.5267,4.9609,4.8046,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,034_003225,003225,7.5611,1.3628,4.2418,4.3886,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,035_002232,002232,4.0525,1.4048,1.2847,2.2473,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,036_005254,005254,0.4577,3.6907,3.8004,2.6496,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,037_004434,004434,12.6344,9.8774,5.2046,9.2388,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,038_014430,014430,3.9219,4.2128,5.9351,4.6899,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,039_009862,009862,0.8741,2.4594,11.4484,4.9273,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,040_004916,004916,4.5078,7.6399,10.0699,7.4059,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,041_010582,010582,2.7761,2.8652,4.2851,3.3088,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,042_009450,009450,3.6927,0.0285,0.4013,1.3742,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,043_007544,007544,0.3727,2.5241,0.2449,1.0472,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,044_011162,011162,3.1359,1.1147,4.3163,2.8556,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,045_010217,010217,2.0514,2.4571,4.4411,2.9832,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,046_003349,003349,8.7088,0.452,7.0947,5.4185,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,047_012454,012454,0.1955,2.4843,2.9338,1.8712,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,048_000557,000557,2.816,3.426,3.7361,3.326,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,049_012399,012399,2.6794,0.6724,19.9059,7.7526,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,050_002099,002099,7.8555,4.1998,9.5972,7.2175,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,051_010097,010097,8.5487,0.9017,9.6588,6.3697,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,052_003889,003889,11.8615,3.9054,19.2698,11.6789,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,053_003499,003499,10.2409,4.1063,1.7753,5.3742,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,054_005401,005401,0.4835,3.4763,2.9923,2.3174,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,055_004181,004181,2.7929,2.682,1.8583,2.4444,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,056_007367,007367,3.7987,3.1445,0.2971,2.4134,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,057_001497,001497,4.9626,2.3757,3.7908,3.7097,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,058_004465,004465,0.3977,3.9986,5.6128,3.3364,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,059_013180,013180,2.0195,3.1695,5.2121,3.467,1,PT+MT,PT200,MT190,base_direct_tll
trainfull,060_008956,008956,6.2667,5.0391,3.5798,4.9619,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,061_015587,015587,5.0592,9.3765,0.4667,4.9675,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,062_015527,015527,6.7296,5.1762,8.0291,6.645,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,063_000373,000373,4.4158,0.0422,2.3314,2.2631,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,064_008882,008882,3.1772,0.9361,3.9326,2.682,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,065_001762,001762,5.9407,2.3262,0.9556,3.0742,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,066_001154,001154,8.9526,5.577,4.4243,6.318,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,067_013910,013910,5.1064,2.1238,15.7398,7.6567,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,068_000625,000625,12.9434,9.9589,0.0316,7.6446,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,069_003471,003471,2.9921,2.9239,2.8373,2.9178,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,070_005958,005958,0.0936,1.8976,4.6377,2.2096,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,071_014422,014422,3.5454,0.5915,1.6514,1.9294,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,072_001782,001782,2.3965,5.7886,4.9565,4.3805,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,073_010212,010212,1.7335,1.3322,1.9156,1.6604,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,074_000851,000851,5.7438,1.7508,1.8125,3.1024,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,075_010073,010073,4.9271,1.3268,9.5635,5.2725,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,076_007073,007073,0.2168,5.8112,3.1108,3.0463,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,077_015376,015376,1.7289,12.3799,7.1136,7.0741,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,078_011989,011989,4.4571,3.5465,4.4721,4.1586,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,079_004275,004275,3.2701,2.8918,5.5812,3.9144,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,080_009413,009413,0.4622,0.3849,1.6081,0.8184,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,081_003107,003107,6.5199,1.3995,5.0305,4.3166,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,082_014029,014029,4.1996,2.7949,5.1962,4.0636,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,083_007663,007663,4.2464,5.6179,3.3485,4.4043,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,084_011412,011412,0.463,11.3349,4.0379,5.2786,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,085_009690,009690,2.885,0.2837,1.7556,1.6414,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,086_002726,002726,1.5741,0.2471,19.3667,7.0626,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,087_002034,002034,3.1661,3.9694,2.143,3.0928,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,088_003288,003288,0.6026,4.1136,10.6185,5.1116,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,089_006197,006197,9.2337,2.5366,2.7011,4.8238,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,090_009197,009197,3.0486,3.9195,15.6957,7.5546,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,091_012068,012068,15.9712,4.1499,4.744,8.2884,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,092_012072,012072,4.2257,2.3003,4.9454,3.8238,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,093_012474,012474,3.8147,0.0041,3.7634,2.5274,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,094_012946,012946,5.973,4.16,3.5494,4.5608,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,095_000709,000709,6.2412,6.0002,4.3949,5.5454,0,MT,base_direct_pt,MT190,base_direct_tll
