group,metric,train2000_248,trainfull_248,delta_trainfull_minus_train2000
checkpoint205_overlap_1000,within_5,68.2,67.4,-0.8
checkpoint205_overlap_1000,mae3,4.8219,4.8451,0.0232
checkpoint205_overlap_1000,rmse3,7.3832,7.4417,0.0585
checkpoint205_overlap_1000,failures_gt5,318,326,8.0
checkpoint205_overlap_1000,severe_gt8,104,96,-8.0
remaining_2192,within_5,70.0274,69.4799,-0.5475
remaining_2192,mae3,4.6694,4.7288,0.0594
remaining_2192,rmse3,7.0626,7.1069,0.0443
remaining_2192,failures_gt5,657,669,12.0
remaining_2192,severe_gt8,206,214,8.0
all_3192,within_5,69.4549,68.8283,-0.6266
all_3192,mae3,4.7172,4.7653,0.0481
all_3192,rmse3,7.1646,7.2134,0.0488
all_3192,failures_gt5,975,995,20.0
all_3192,severe_gt8,310,310,0.0
