file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,pt_source205,mt_source205,tll_source205,changed_targets205
1000_015857,015857,1.112,1.0679,0.5876,0.9225,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1001_013805,013805,0.468,3.0852,1.4277,1.6603,1,checkpoint186,gate155_mt,checkpoint186,
1002_011038,011038,14.2654,0.0483,0.9786,5.0974,0,checkpoint186,selector168_mt_guard171,checkpoint186,
1003_002280,002280,11.7751,0.9884,5.1607,5.9747,0,checkpoint186,checkpoint93,checkpoint186,
1004_010994,010994,2.3172,0.4081,2.9824,1.9026,1,checkpoint186,checkpoint93,checkpoint186,
1005_006376,006376,3.1728,3.2332,2.3161,2.9074,1,checkpoint186,gate135_mt,checkpoint186,
1006_003232,003232,11.088,3.3611,2.8291,5.7594,0,checkpoint186,adaptive190_MT,checkpoint186,
1007_011390,011390,6.1141,7.6384,4.2863,6.0129,0,checkpoint186,checkpoint93,checkpoint186,
1008_014876,014876,4.2309,9.8792,3.0445,5.7182,0,checkpoint186,checkpoint93,checkpoint186,
1009_014057,014057,2.411,0.1727,4.7983,2.4607,1,checkpoint186,gate155_mt,checkpoint186,
1010_013201,013201,0.0511,2.9028,4.0856,2.3465,1,checkpoint186,checkpoint93,checkpoint186,
1011_009334,009334,5.2599,3.2475,0.5737,3.027,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1012_008418,008418,6.7834,0.8722,1.3895,3.015,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1013_008269,008269,2.4794,4.9098,7.1426,4.8439,1,checkpoint186,gate135_mt,checkpoint186,
1014_013506,013506,4.1103,0.7791,2.99,2.6265,1,checkpoint186,gate155_mt,checkpoint186,
1015_001951,001951,0.8374,4.681,2.5812,2.6999,1,checkpoint186,adaptive190_MT,checkpoint186,
1016_007057,007057,1.2309,4.6277,6.8418,4.2335,1,checkpoint186,adaptive190_MT,checkpoint186,
1017_002348,002348,6.4485,5.4828,8.5096,6.8136,0,checkpoint186,adaptive190_MT,checkpoint186,
1018_011569,011569,3.3684,0.7054,0.1154,1.3964,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1019_010075,010075,2.6823,2.7488,18.0989,7.8433,0,checkpoint186,selector168_mt_guard171,checkpoint186,
1020_015391,015391,1.9677,4.739,0.8527,2.5198,1,checkpoint186,adaptive190_MT,checkpoint186,
1021_008981,008981,3.3225,3.1973,1.0467,2.5222,1,checkpoint186,checkpoint93,checkpoint186,
1022_000967,000967,0.4863,3.9454,5.9923,3.4747,1,checkpoint186,adaptive190_MT,checkpoint186,
1023_014497,014497,8.717,0.9581,9.5421,6.4057,0,checkpoint186,selector168_mt_guard171,checkpoint186,
1024_012008,012008,1.0582,5.8668,1.7729,2.8993,1,checkpoint186,adaptive190_MT,checkpoint186,
1025_010369,010369,4.8557,3.0568,2.4487,3.4537,1,checkpoint186,checkpoint93,checkpoint186,
1026_005868,005868,1.7165,2.0467,1.9903,1.9178,1,checkpoint186,gate155_mt,checkpoint186,
1027_005266,005266,1.8815,1.6075,2.791,2.0933,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1028_005829,005829,0.1557,11.1182,8.9979,6.7573,0,checkpoint186,checkpoint93,checkpoint186,
1029_005790,005790,0.7854,1.0366,3.2136,1.6785,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1030_004588,004588,1.206,2.9805,2.8565,2.3477,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1031_000206,000206,6.0733,2.3398,9.0703,5.8278,0,checkpoint186,gate155_mt,checkpoint186,
1032_009590,009590,1.3824,3.6891,6.7881,3.9532,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1033_012207,012207,1.9856,4.4521,5.4933,3.977,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1034_003378,003378,4.3379,4.2822,3.0579,3.8927,1,checkpoint186,gate135_mt,checkpoint186,
1035_015137,015137,3.9978,3.2519,5.9692,4.4063,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1036_005956,005956,0.8242,4.4631,4.3632,3.2168,1,checkpoint186,adaptive190_MT,checkpoint186,
1037_013265,013265,1.7218,3.8622,4.8474,3.4771,1,checkpoint186,gate135_mt,checkpoint186,
